feature,importance
BB/TB_85/177,3.641541453117288e-05
BB/TB_79/152,3.612905679392654e-05
BB/TB_49/146,3.598740440845703e-05
BB/TB_92/185,3.584970363494596e-05
BB/TB_66/180,3.078103094528273e-05
BB/TB_52/151,2.9605998746882277e-05
BB/TB_94/154,2.5813644021072306e-05
BB/TB_99/167,2.4358062092464047e-05
BB/TB_99/182,1.7890252485727946e-05
BB/TB_54/156,1.6146203876098e-05
BB/TB_99/146,1.3607004205414749e-05
BB/TB_47/152,1.1673962893475133e-05
BB/TB_53/170,1.0891160716944647e-05
BB/TB_65/189,7.076669196078553e-06
BB/TB_96/165,6.613840973973114e-06
BB/TB_57/175,6.4263222157959395e-06
BB/TB_69/164,6.295172782820482e-06
BB/TB_58/149,5.495627051046503e-06
BB/TB_96/156,5.29107277917855e-06
BB/TB_88/174,5.2903712005147766e-06
BB/TB_61/163,4.916080961708332e-06
BB/TB_61/183,3.711022665071065e-06
BB/TB_55/149,3.2351547069467514e-06
BB/TB_80/188,2.785204991087242e-06
BB/TB_92/158,2.3869196801527224e-06
BB/TB_45/147,1.536275300533913e-06
BB/TB_80/150,1.494500239120121e-06
BB/TB_53/167,1.301956189174211e-06
BB/TB_60/173,7.537641095219751e-07
BB/TB_86/172,0.0
BB/TB_86/171,0.0
BB/TB_86/166,0.0
BB/TB_86/150,0.0
BB/TB_84/154,0.0
BB/TB_85/168,0.0
BB/TB_84/177,0.0
BB/TB_85/159,0.0
BB/TB_82/155,0.0
BB/TB_90/148,0.0
BB/TB_90/153,0.0
BB/TB_90/156,0.0
BB/TB_86/188,0.0
BB/TB_87/149,0.0
BB/TB_87/163,0.0
BB/TB_87/177,0.0
BB/TB_87/180,0.0
BB/TB_82/146,0.0
BB/TB_88/146,0.0
BB/TB_88/150,0.0
BB/TB_88/151,0.0
BB/TB_88/159,0.0
BB/TB_88/161,0.0
BB/TB_88/163,0.0
BB/TB_88/173,0.0
BB/TB_84/148,0.0
BB/TB_87/182,0.0
BB/TB_79/180,0.0
BB/TB_79/189,0.0
BB/TB_80/164,0.0
BB/TB_80/166,0.0
BB/TB_80/167,0.0
BB/TB_80/181,0.0
BB/TB_81/159,0.0
BB/TB_51/155,0.0
BB/TB_77/151,0.0
BB/TB_77/156,0.0
BB/TB_77/169,0.0
BB/TB_77/170,0.0
BB/TB_77/171,0.0
BB/TB_77/180,0.0
BB/TB_77/183,0.0
BB/TB_78/179,0.0
BB/TB_81/162,0.0
BB/TB_82/174,0.0
BB/TB_82/177,0.0
BB/TB_82/185,0.0
BB/TB_82/186,0.0
BB/TB_82/187,0.0
BB/TB_83/153,0.0
BB/TB_83/164,0.0
BB/TB_90/147,0.0
BB/TB_79/170,0.0
